Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
61,CQ0URTD,438.7000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN51XF - RU696 - Associação de Radioamadores entre Tâmega e Douro,,,,
62,CQ0USM,438.7000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM67CC - RU696 - Radioamador Clube de Loulé,,,,
63,CQ2UFX,438.7000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,IM12NQ - RU696 - Rede dos Emissores Portugueses,,,,
64,CQ1USB,438.7000,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM68IR - RU696 - União de Radioamadores dos Açores,,,,
65,CQ0UCSC,438.7250,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IF51HG - RU698 - Associação de Radioamadores da Linha de Cascais,,,,
66,CQ0UCD,438.7250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59NN - RU698 - Associação de Radioamadores do Distrito de Leiria,,,,
67,CQ0USF,438.7250,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50uu - RU698 - Rede dos Emissores Portugueses,,,,
68,CQ1UCM,438.7250,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM68KR - RU698 - União de Radioamadores dos Açores,,,,
69,CQ0UVAR,438.7500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59IC - RU700 - Associação de Radioamadores do Oeste,,,,
70,CQ1UPB,438.7500,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77JS - RU700 - Associação de Radioamadores dos Açores,,,,
71,CQ0USMA,438.7500,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,IM69HH - RU700 - Rede dos Emissores Portugueses,,,,
72,CQ1UMB,438.7500,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM68JP - RU700 - União de Radioamadores dos Açores,,,,
73,CQ0UARC,438.7750,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IN50SE - RU702 - Associação de Radioamadores de Coimbra,,,,
74,CQ1USC,438.7750,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77CT - RU702 - Associação de Radioamadores dos Açores,,,,
75,CQ1UMS,438.7750,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HN66gw - RU702 - União de Radioamadores dos Açores,,,,
76,CQ0UAB,438.8000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59RP - RU704 - Associação de Radioamadores do Distrito de Leiria,,,,
77,CQ0UBRG,438.8000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,IN51TM - RU704 - Associação de Radioamadores do Minho,,,,
78,CQ1UF,438.8000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,HM58PN - RU704 - Azores DX Team,,,,
79,CQ0UAE,438.8000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50TT - RU704 - Rede dos Emissores Portugueses,,,,
80,CQ0UMAR,438.8250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM57QH - RU706 - ARSUL - Associação de Radioamadores do Sul,,,,
81,CQ0USE,438.8250,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,IN60EH - RU706 - Associação de Radioamadores da Beira Alta,,,,
82,CQ1UB,438.8250,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77GS - RU706 - Associação de Radioamadores dos Açores,,,,
83,CQ0UKE,438.8250,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59hc - RU706 - Rede dos Emissores Portugueses,,,,
84,CQ0ULO,438.8500,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IN50VC - RU708 - Núcleo de Radioamadores de Coimbra,,,,
