Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
97,CQ0USE,438.8250,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Torre - Serra da Estrela,,,,
98,CQ0UKE,438.825000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59hc,,,,
99,CQ0UMAR,438.825000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM57qh,,,,
100,CQ1UB,438.825000,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77gs,,,,
101,CQ0ULO,438.8500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Alto do Trevim - Serra da Lousã,,,,
102,CQ0UML,438.8500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
103,CQ0URBL,438.8750,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Restaurante Pouso Alto - Oliveira de Azeméis,,,,
104,CQ0UAI,438.8750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,"Aire, Serra de Aire",,,,
105,CQ0UAL,438.8750,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,"Aire, Serra de Aire",,,,
106,CQ0UEC,438.8750,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Serra da Amoreira (NE) – Odivelas,,,,
107,CQ0UCO,438.9000,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,"Arco, Cota - Viseu",,,,
108,CQ0UCP,438.9000,-,7.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Serra da Brenha - Figueira da Foz,,,,
109,CQ0USDV,438.9000,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"Serra da Vila, Torres Vedras",,,,
110,CQ0UDA,438.900000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,IM68an,,,,
111,CQ1UPDL,438.900000,-,7.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77er,,,,
112,CQ0UMA,438.9250,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Marão - Serra do Marão,,,,
113,CQ0USTC,438.9250,-,7.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Aldeia de Chãos - Santiago do Cacém,,,,
114,CQ0UMM,438.9250,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
115,CQ0UAR,438.9500,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Posto de Vigia, Serra do Arestal - Aveiro",,,,
116,CQ0USO,438.9500,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Serra de Ossa - Évora,,,,
117,CQ0UHU,438.9500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"C.C.D. da Marinha, Monsanto – Lisboa",,,,
118,CQ0UMU,438.9750,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Santa Luzia - Viseu,,,,
119,CQ0UMO,438.9750,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Capelas da Serra de Montejunto,,,,
120,CQ0UPS,439.0000,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cabeço da Urra - Pampilhosa da Serra,,,,
121,CQ0UCVM,439.0250,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Cabreira - Vieira do Minho,,,,
122,CQ0UPM,439.0250,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Vale Grande - Serra dos Candeeiros,,,,
123,CQ0UREP,439.0250,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Hospital Garcia de Horta - Almada,,,,
124,CQ0UES,439.0500,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Torre - Serra da Estrela,,,,
125,CQ0USC,439.0500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Forte da Carvalha – Arruda dos Vinhos,,,,
126,CQ0UCAS,439.0500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Santuário da Peninha - Serra de Sintra,,,,
127,CQ0USR,439.0750,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Governo Civil - Santarém,,,,
128,CQ0UGMR,439.1000,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Serra da Penha - Guimarães,,,,
129,CQ0UARS,439.1000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Serra do Arestal,,,,
130,CQ0UG,439.1000,-,7.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Gardunha - Serra da Gardunha,,,,
131,CQ0UFLX,439.1000,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Charneca da Caparica,,,,
132,CQ0USJ,439.1250,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Posto de Vigia de Santa Justa - Valongo,,,,
133,CQ0UGM,439.1250,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Monte Crasto - Gondomar,,,,
134,CQ0USI,439.1250,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Santa Eufémia (Ermida) - Sintra,,,,
135,CQ0UBLA,439.125000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM57re,,,,
136,CQ0UMR,439.1500,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Marão - Serra do Marão,,,,
137,CQ0UCOI,439.1500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Universidade de Coimbra - Coimbra,,,,
