Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
25,CQ0VEC,145.6625,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Serra da Amoreira (NE) – Odivelas,,,,
26,CQ0VSI,145.7125,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Santa Eufémia (Ermida) - Sintra,,,,
27,CQ0VMST,145.6250,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"Comando da F.A.P., Monsanto - Lisboa",,,,
28,CQ0VCSC,145.6000,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Bombeiros Voluntários de Cascais,,,,
29,CQ0VARB,145.7375,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"Outão, Serra da Arrábida - Setúbal",,,,
30,CQ0VSTC,145.7000,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Aldeia de Chãos - Santiago do Cacém,,,,
31,CQ0VSP,145.7500,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Miradouro - Serpa,,,,
32,CQ0VFD,145.7625,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Fóia - Serra de Monchique,,,,
33,CQ0VFO,145.6500,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Fóia - Serra de Monchique,,,,
34,CQ0VTA,145.5750,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Alcaria do Cume - Tavira,,,,
35,CQ0VSM,145.7250,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
36,CQ0UAV,439.3250,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Monção - Serra do Gerês,,,,
37,CQ0UAT,438.6750,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Mairos – Chaves,,,,
38,CQ0USA,438.6500,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Chã Grande - Serra de Arga,,,,
39,CQ0UCVM,439.0250,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Cabreira - Vieira do Minho,,,,
40,CQ0UBRG,438.8000,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Santa Marta - Braga,,,,
41,CQ0UGMR,439.1000,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Serra da Penha - Guimarães,,,,
42,CQ0UAST,439.2000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Santuário de Nossa Senhora da Assunção - Santo Tirso,,,,
43,CQ0UMR,439.1500,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Marão - Serra do Marão,,,,
44,CQ0UMA,438.9250,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Marão - Serra do Marão,,,,
45,CQ0URTD,438.7000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Carvalho de Rei - Amarante,,,,
46,CQ0UBA,439.2750,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Vandoma - Baltar,,,,
47,CQ0USJ,439.1250,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Posto de Vigia de Santa Justa - Valongo,,,,
48,CQ0UGM,439.1250,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Monte Crasto - Gondomar,,,,
49,CQ0UPRT,439.4250,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Santo Ovídio (W) - Monte da Virgem,,,,
50,CQ0UCO,438.9000,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,"Arco, Cota - Viseu",,,,
51,CQ0UOAZ,439.4000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Restaurante Pouso Alto - Oliveira de Azeméis,,,,
52,CQ0URBL,438.8750,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Restaurante Pouso Alto - Oliveira de Azeméis,,,,
53,CQ0UAZ,439.4000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Restaurante Pouso Alto - Oliveira de Azeméis,,,,
54,CQ0UTRZ,439.1750,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Gestoso, Serra do Arestal - Aveiro",,,,
55,CQ0UAE,438.8000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Gestoso, Serra do Arestal - Aveiro",,,,
56,CQ0UAR,438.9500,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,"Posto de Vigia, Serra do Arestal - Aveiro",,,,
57,CQ0UARS,439.1000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Serra do Arestal,,,,
58,CQ0UMU,438.9750,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Santa Luzia - Viseu,,,,
59,CQ0UCAR,439.2500,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Pinoucas - Serra do Caramulo,,,,
60,CQ0UCL,439.3250,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Cabeço da Neve - Serra do Caramulo,,,,
61,CQ0UCA,438.7000,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cruz Alta - Serra do Buçaco,,,,
62,CQ0DUE,438.2125,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Estrela - Serra da Estrela,,,,
63,CQ0UES,439.0500,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Torre - Serra da Estrela,,,,
64,CQ0USE,438.8250,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Torre - Serra da Estrela,,,,
65,CQ0UDE,439.2000,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Penhas da Saúde - Serra da Estrela,,,,
66,CQ0UARC,438.7750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Universidade de Coimbra - Coimbra,,,,
67,CQ0UCOI,439.1500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Universidade de Coimbra - Coimbra,,,,
68,CQ0UCP,438.9000,-,7.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Serra da Brenha - Figueira da Foz,,,,
69,CQ0UTV,439.3000,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Trevim - Serra da Lousã,,,,
70,CQ0ULO,438.8500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Alto do Trevim - Serra da Lousã,,,,
71,CQ0UG,439.1000,-,7.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Gardunha - Serra da Gardunha,,,,
72,CQ0UPS,439.0000,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cabeço da Urra - Pampilhosa da Serra,,,,
73,CQ0UCB,439.2500,-,7.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Castelo Branco (E) - Castelo Branco,,,,
74,CQ0UAB,438.8000,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Posto de Vigia de Alburitel - Ourém,,,,
75,CQ0UTR,439.1750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Silveira – Tomar,,,,
76,CQ0UCD,438.7250,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Vale Grande - Serra dos Candeeiros,,,,
77,CQ0UPM,439.0250,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Vale Grande - Serra dos Candeeiros,,,,
78,CQ0ULR,439.2500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Vale Grande - Serra dos Candeeiros,,,,
79,CQ0URL,439.1500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Vale Grande - Serra dos Candeeiros,,,,
80,CQ0UAI,438.8750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,"Aire, Serra de Aire",,,,
81,CQ0DUAI,438.2750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,"Aire, Serra de Aire",,,,
82,CQ0UAL,438.8750,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,"Aire, Serra de Aire",,,,
83,CQ0SSTV,433.4000,-,0.0000,,67.0,67.0,023,NN,FM,6.25,,Entroncamento (N) - Entroncamento,,,,
84,CQ0UCAN,438.6500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Candeeiros - Serra dos Candeeiros,,,,
85,CQ0UCR,439.4250,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Depósito de Água - Caldas da Rainha,,,,
86,CQ0UAG,439.2000,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Rua do Galope - Óbidos,,,,
87,CQ0UP,439.2750,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,São Mamede - Serra de São Mamede,,,,
88,CQ0USMA,438.7500,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,São Mamede - Serra de São Mamede,,,,
89,CQ0USR,439.0750,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Governo Civil - Santarém,,,,
90,CQ0UMO,438.9750,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Capelas da Serra de Montejunto,,,,
91,CQ0UM,438.6750,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Estação de Radar N. 3 - Montejunto,,,,
92,CQ0UMJ,439.3500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Estação de Radar N. 3 - Montejunto,,,,
93,CQ0UVAR,438.7500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Varatojo - Torres Vedras,,,,
94,CQ0USDV,438.9000,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"Serra da Vila, Torres Vedras",,,,
95,CQ0USC,439.0500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Forte da Carvalha – Arruda dos Vinhos,,,,
96,CQ0UMC,439.1750,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Cabeço de Montachique - Loures,,,,
97,CQ0URVM,439.3250,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Monte Serves - Vialonga,,,,
98,CQ0UEC,438.8750,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Serra da Amoreira (NE) – Odivelas,,,,
99,CQ0USI,439.1250,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Santa Eufémia (Ermida) - Sintra,,,,
100,CQ0UCAS,439.0500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Santuário da Peninha - Serra de Sintra,,,,
101,CQ0DRLX,438.2375,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"Praça de Londres, Areeiro - Lisboa",,,,
102,CQ0USO,438.9500,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Serra de Ossa - Évora,,,,
103,CQ0UHU,438.9500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"C.C.D. da Marinha, Monsanto – Lisboa",,,,
104,CQ0UHU,431.3500,-,-7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"C.C.D. da Marinha, Monsanto – Lisboa",,,,
105,CQ0UMST,438.6500,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"C.C.D. da Marinha, Monsanto – Lisboa",,,,
106,CQ0UCSC,438.7250,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Bombeiros Voluntários de Alcabideche - Cascais,,,,
107,CQ0UREP,439.0250,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Hospital Garcia de Horta - Almada,,,,
108,CQ0UMN,439.3500,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Montemor-o-Novo - Évora,,,,
109,CQ0UFLX,439.1000,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Charneca da Caparica,,,,
110,CQ0UARB,439.4000,-,7.6000,Tone,74.4,74.4,023,NN,FM,6.25,,"Outão, Serra da Arrábida - Setúbal",,,,
111,CQ0USTC,438.9250,-,7.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Aldeia de Chãos - Santiago do Cacém,,,,
112,CQ0UDA,438.8000,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,São Pedro de Solis - Mértola,,,,
113,CQ0UMT,438.6500,-,7.6000,Tone,114.8,114.8,023,NN,FM,6.25,,São Pedro de Solis - Mértola,,,,
114,CQ0UFO,438.6750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Fóia - Serra de Monchique,,,,
115,CQ0UMF,439.4250,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Fóia - Serra de Monchique,,,,
116,CQ0USM,438.7000,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
117,CQ0UML,438.8500,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
118,CQ0UIV,439.3750,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
119,CQ0UMM,438.9250,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
120,CQ0UFL,439.2250,-,7.6000,Tone,131.8,131.8,023,NN,FM,6.25,,Cerro de São Miguel - Olhão,,,,
121,CQ0VDLX,145.7750,-,0.6000,Tone,74.4,74.4,023,NN,FM,6.25,,Pico de Flores - Porto Santo,,,,
122,CQ2UFX,438.7000,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Pico Alto - Parque Ecológico do Funchal,,,,
123,CQ2UMAD,438.6500,-,7.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Pinheira - Funchal,,,,
124,CQ1VFLW,145.7875,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Pico do Morro Alto - Ilha das Flores,,,,
125,CQ1VPV,145.7750,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Cabeço Verde - Ilha do Faial,,,,
126,CQ1VF,145.6000,-,0.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Cabeço Gordo - Ilha do Faial,,,,
127,CQ1VP,145.6500,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Lages do Pico - Ilha do Pico,,,,
128,CQ1VPM,145.6750,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Rosais - Ilha de São Jorge,,,,
129,CQ1VGR,145.6125,-,0.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Caldeirinha - Ilha da Graciosa,,,,
130,CQ1VSJ,145.6375,-,0.6000,Tone,67.0,67.0,023,NN,FM,6.25,,São Tomé - Ilha de São Jorge,,,,
131,CQ1VSB,145.7000,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Serra de Santa Bárbara - Ilha Terceira,,,,
132,CQ1VDX,145.7375,-,0.6000,Tone,114.8,114.8,023,NN,FM,6.25,,Serra de Santa Bárbara - Ilha Terceira,,,,
133,CQ1VCM,145.7250,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Ladeira da Na. Sra. da Pena (E) – Ilha Terceira,,,,
134,CQ1VSS,145.6625,-,0.6000,Tone,82.5,82.5,023,NN,FM,6.25,,Miradouro do Facho - Ilha Terceira,,,,
135,CQ1VSC,145.7750,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Santos de Cima (SE) - Ilha de São Miguel,,,,
136,CQ1VB,145.6250,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Pico da Barrosa - Ilha de São Miguel,,,,
137,CQ1VPB,145.7500,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Bartolomeu - Ilha de São Miguel,,,,
138,CQ1VPA,145.6000,-,0.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Pico Alto - Ilha de Santa Maria,,,,
139,CQ1UF,438.8000,-,7.6000,Tone,123.0,123.0,023,NN,FM,6.25,,Cabeço Gordo - Ilha do Faial,,,,
140,CQ1EURA,439.6250,-,0.0000,Tone,82.5,82.5,023,NN,FM,6.25,,Serra de Santa Bárbara - Ilha Terceira,,,,
141,CQ1UDX,438.6750,-,7.6000,Tone,67.0,67.0,023,NN,FM,6.25,,Serra de Santa Bárbara - Ilha Terceira,,,,
142,CQ1UCM,438.7250,-,7.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Serra do Cume - Ilha Terceira,,,,
143,CQ1UPA,438.6500,-,7.6000,Tone,88.5,88.5,023,NN,FM,6.25,,Pico Alto - Ilha de Santa Maria,,,,
