Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
,CQ0USF,438.7250,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50uu - REP,,,,
,CQ0UCAN,438.6500,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59mk - REP,,,,
,CQ0VSF,145.6125,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50uu - REP,,,,
,CQ0UHU,438.9500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58jr - REP,,,,
,CQ0UMST,438.6500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58jr - REP,,,,
,CQ0VMST,145.6250,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58jr - REP,,,,
,CQ0UAG,439.2000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59kj - RCO,,,,
,CQ0VTA,145.5750,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IM67df - RCL,,,,
,CQ0VSM,145.7250,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IM67cc - RCL,,,,
,CQ0UIV,439.2000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM57xd - RCL,,,,
,CQ0UFL,439.2250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM67cc - RCL,,,,
,CQ0USM,438.7000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM67cc - RCL,,,,
,CQ0UFO,438.6750,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM57qh - RCL,,,,
,CQ0VFO,145.6500,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IM57qh - RCL,,,,
,CQ0UARS,439.1000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50ts - AIRA,,,,
,CQ0UMJ,439.3500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59le - LART,,,,
,CQ0USI,439.1250,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58hs - LARS,,,,
,CQ0VSI,145.7125,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58hs - LARS,,,,
,CQ1VP,145.6500,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM58vj - GRP,,,,
,CQ1VPV,145.7750,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,HM58oo - CRA,,,,
,CQ1VF,145.6000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,HM58pn - CRA,,,,
,CQ1VPM,145.6750,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM58vr - CRA,,,,
,CQ0VENT,145.6875,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59sl - CRE,,,,
,CQ1UF,438.8000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,HM58pn - AT,,,,
,CQ1VDX,145.7375,-,0.600000,Tone,114.8,114.8,023,NN,FM,12.50,,HM68ir - ADXG,,,,
,CQ1UDX,438.6750,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,HM68ir - ADXG,,,,
,CQ1VSS,145.6625,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,HM68lr - ARPV,,,,
,CQ0URTD,438.7000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN51xf - ARTD,,,,
,CQ1VSC,145.7750,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77ct - ARA,,,,
,CQ1VB,145.6250,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,HM77gs - ARA,,,,
,CQ0UTR,439.1750,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59uo - ARR,,,,
,CQ0VMO,145.7500,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59le - ARR,,,,
,CQ0USR,439.0750,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59pf - ARR,,,,
,CQ0USO,438.9500,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,IM68er - ARR,,,,
,CQ0UMO,438.9750,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59le - ARR,,,,
,CQ0VVAR,145.6375,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59ic - ARADO,,,,
,CQ0UCVM,439.0250,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,IN51xp - ARM,,,,
,CQ0UPRT,439.4250,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN51qc - ARM,,,,
,CQ0VBRG,145.7000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN51tm - ARM,,,,
,CQ0UAST,439.2000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN51sh - ARM,,,,
,CQ0UBRG,438.8000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,IN51tm - ARM,,,,
,CQ0UGMR,439.1000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,IN51uk - ARM,,,,
,CQ0USTC,438.9250,-,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,IM57px - ARLA,,,,
,CQ0UARB,439.4000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58ml - ARLA,,,,
,CQ0VSTC,145.7000,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM57px - ARLA,,,,
,CQ0VARB,145.7375,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM58ml - ARLA,,,,
,CQ0UTRZ,439.1750,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,IN50tt - ARAL,,,,
,CQ0UAB,438.8000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59rp - ARAL,,,,
,CQ0ULR,439.2500,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59nn - ARAL,,,,
,CQ0UCD,438.7250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59nn - ARAL,,,,
,CQ0UMT,438.6500,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,IM67bl - ARAL,,,,
,CQ0VCD,145.6125,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,IM59nn - ARAL,,,,
,CQ0UPM,439.0250,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,IM59nn - ARAL,,,,
