Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
138,CQ0UMST,438.650000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58jr,,,
139,CQ0UMT,438.650000,-,7.600000,Tone,,114.8,023,NN,FM,,,IM67bl,,,
140,CQ0UMU,438.975000,-,7.600000,Tone,,114.8,023,NN,FM,,,IN60aq,,,
141,CQ0UOAZ,439.400000,-,7.600000,Tone,,123,023,NN,FM,,,IN50st,,,
142,CQ0UOAZ*,439.400000,-,7.600000,Tone,,123,023,NN,FM,,,IN50st,,,
143,CQ0UP,439.275000,-,7.600000,Tone,,67,023,NN,FM,,,IM69hh,,,
144,CQ0UPM,439.025000,-,7.600000,Tone,,131.8,023,NN,FM,,,IM59nn,,,
145,CQ0UPRT,439.425000,-,7.600000,Tone,,123,023,NN,FM,,,IN51qc,,,
146,CQ0UPS,439.000000,-,7.600000,Tone,,131.8,023,NN,FM,,,IN60aa,,,
147,CQ0URBL,438.875000,-,7.600000,Tone,,123,023,NN,FM,,,IN50st,,,
148,CQ0UREP,439.025000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58jq,,,
149,CQ0URTD,438.700000,-,7.600000,Tone,,123,023,NN,FM,,,IN51xf,,,
150,CQ0URVM,439.325000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58kv,,,
151,CQ0USA,438.650000,-,7.600000,Tone,,67,023,NN,FM,,,IN51pt,,,
152,CQ0USC,439.050000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58kx,,,
153,CQ0USDV,438.900000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM59ib,,,
154,CQ0USE,438.825000,-,7.600000,Tone,,114.8,023,NN,FM,,,IN60eh,,,
155,CQ0USF,438.725000,-,7.600000,Tone,,123,023,NN,FM,,,IN50uu,,,
156,CQ0USI,439.125000,-,7.600000,Tone,,74.4,023,NN,FM,,,IM58hs,,,
157,CQ0USJ,439.125000,-,7.600000,Tone,,123,023,NN,FM,,,IN51se,,,
